state,issuer_name,plan_marketing_name,plan_type,rating_area,premium_adult_individual_age_27,premium_adult_individual_age_50,premium_family_age_30,drug_deductable_individual_in_network,drug_deductable_individual_out_of_network,medical_deductable_family_in_network,medical_deductable_family_out_of_network,drug_deductable_family_out_of_network,medical_maximum_out_of_pocket_individual_in_network,drug_maximum_out_of_pocket_individual_in_network,medical_maximum_out_of_pocket_individual_out_of_network,drug_maximum_out_of_pocket_individual_in_network,medical_maximum_out_of_pocket_family_in_network,drug_maximum_out_of_pocket_family_in_network,medical_maximum_out_of_pocket_family_out_of_network,drug_maximum_out_of_pocket_family_out_of_network
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 18,198.33,337.99,669.92,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 15,198.33,337.99,669.92,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 22,200.47,341.64,677.16,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 60,204.2,348,689.76,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 3,206.33,351.63,696.96,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 22,206.69,352.23,698.14,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 46,207.4,353.45,700.58,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 4,208.42,355.19,704.02,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 14,209.66,357.3,708.22,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 43,209.66,357.3,708.22,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 9,209.74,357.44,708.48,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 60,210.53,358.79,711.16,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 34,212.2,361.63,716.76,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 3,212.73,362.54,718.57,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 41,212.73,362.54,718.57,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 46,213.83,364.41,722.28,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 26,214.06,364.81,723.06,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 4,214.88,366.2,725.83,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 28,215.66,367.53,728.48,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 9,216.24,368.52,730.42,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 22,217.09,369.96,733.3,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 26,217.09,369.96,733.3,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 34,218.78,372.84,739,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 41,219.33,373.78,740.88,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 30,220.19,375.26,743.78,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 26,220.7,376.12,745.52,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 11,220.99,376.62,746.48,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 44,220.99,376.62,746.48,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 42,220.99,376.62,746.48,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueOptions Essential 1406,EPO,Rating Area 9,221.73,377.87,748.96,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueOptions Essential 1406,EPO,Rating Area 4,222.01,378.35,749.92,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 28,222.35,378.93,751.07,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 51,222.86,379.8,752.78,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 32,223.07,380.16,753.5,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 28,223.07,380.16,753.5,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 36,223.07,380.16,753.5,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 40,223.07,380.16,753.5,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 20,223.07,380.16,753.5,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 9,225.79,384.8,762.7,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 10,226.06,385.25,763.6,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 37,226.38,385.8,764.7,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 11,226.91,386.7,766.48,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 30,227.02,386.9,766.86,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 52,227.13,387.07,767.2,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 15,227.39,387.52,768.1,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 60,228.23,388.95,770.94,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 66,228.46,389.34,771.7,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 56,228.5,389.4,771.83,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueOptions Essential Plus 1406P,EPO,Rating Area 9,228.6,389.58,772.18,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueOptions Essential Plus 1406P,EPO,Rating Area 4,228.89,390.07,773.16,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 41,229.03,390.31,773.62,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 1,229.29,390.76,774.5,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 26,229.29,390.76,774.5,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 51,229.77,391.58,776.14,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 8,229.79,391.61,776.2,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 8,230.35,392.56,778.07,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 20,230.61,393.01,778.96,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 5,231.12,393.88,780.7,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 14,231.4,394.36,781.64,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
SC,BlueChoice HealthPlan,MyChoice Advantage Silver 2501,EPO,Rating Area 27,232.65,396.48,644.91,2500,MAX,NULL,MAX,MAX,5650,0,MAX,MAX,NULL,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 9,232.8,396.73,786.36,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 10,233.07,397.2,787.28,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 37,233.4,397.76,788.38,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 2,233.52,397.97,788.81,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 61,233.78,398.41,789.68,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 45,233.89,398.59,790.04,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 35,233.89,398.59,790.04,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 17,233.89,398.59,790.04,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 13,233.89,398.59,790.04,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 16,233.89,398.59,790.04,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 21,233.89,398.59,790.04,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 31,233.89,398.59,790.04,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 34,233.89,398.59,790.04,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 11,233.94,398.69,790.22,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 52,234.17,399.07,791,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 42,234.32,399.33,791.52,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 56,234.32,399.33,791.52,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 15,234.45,399.54,791.92,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueOptions Essential 1406,EPO,Rating Area 29,234.95,400.4,793.64,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 60,235.31,401.01,794.84,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 27,235.39,401.15,795.12,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 66,235.55,401.42,795.64,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 56,235.58,401.47,795.74,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 41,236.12,402.4,797.57,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 16,236.19,402.51,797.82,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 1,236.39,402.86,798.52,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 26,236.39,402.86,798.52,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 40,236.42,402.91,798.6,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueOptions Essential 1406,EPO,Rating Area 31,236.64,403.28,799.31,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 12,236.69,403.36,799.48,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential 1439,EPO,Rating Area 11,236.72,403.42,799.6,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 8,236.92,403.76,800.28,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 8,237.48,404.72,802.2,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential 1473,HMO,Rating Area 34,237.74,405.16,803.06,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 20,237.76,405.18,803.1,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
FL,Florida Blue (BlueCross BlueShield FL),BlueSelect Essential Plus 1439P,EPO,Rating Area 5,238.29,406.1,804.93,2100,4200,4200,8400,0,4200,0,8400,MAX,8400,0,16800,MAX
FL,Florida Blue HMO (a BlueCross BlueShield FL company),BlueCare Essential Plus 1473P,HMO,Rating Area 14,238.57,406.58,805.88,2100,MAX,4200,MAX,MAX,4200,0,MAX,MAX,8400,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 4,239.39,407.98,808.64,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 30,239.39,407.98,808.64,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 39,239.39,407.98,808.64,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 37,239.39,407.98,808.64,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,Consumers' Choice Health Plan,Consumers' Choice Silver HDP 1,EPO,Rating Area 23,239.39,407.98,808.64,3500,MAX,7000,MAX,MAX,3500,0,MAX,MAX,7000,0,0,MAX
SC,BlueChoice HealthPlan,MyChoice Advantage Silver 2501,EPO,Rating Area 7,239.61,408.34,664.18,2500,MAX,NULL,MAX,MAX,5650,0,MAX,MAX,NULL,0,0,MAX
